ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
09988.HK,20260102,143.2,149.7,142.9,149.0,142.8,6.2,4.34,48902470.0,7215810283.8
09988.HK,20260105,151.1,153.8,150.0,152.8,149.0,3.8,2.55,102834720.0,15681695666.3
09988.HK,20260106,150.9,153.2,150.5,150.8,152.8,-2.0,-1.31,112004139.0,16966606124.0
09988.HK,20260107,147.1,147.8,143.5,145.9,150.8,-4.9,-3.25,149677478.0,21758990525.344
09988.HK,20260108,143.6,144.9,141.0,142.6,145.9,-3.3,-2.26,107421412.0,15345323864.76
09988.HK,20260109,148.0,149.5,145.9,146.5,142.6,3.9,2.73,115234256.0,17002974129.97
09988.HK,20260112,146.9,154.6,146.0,154.3,146.5,7.8,5.32,164580300.0,25051108936.92
09988.HK,20260113,162.0,164.0,157.4,159.9,154.3,5.6,3.63,153153842.0,24540402269.35
09988.HK,20260114,163.8,169.8,162.1,169.0,159.9,9.1,5.69,244622843.0,40785747086.66
09988.HK,20260115,168.9,170.1,163.1,164.6,169.0,-4.4,-2.6,133061563.0,22058494327.68
09988.HK,20260116,167.9,168.7,165.0,166.2,164.6,1.6,0.97,79370877.0,13213026136.9
09988.HK,20260119,162.0,162.5,160.1,160.4,166.2,-5.8,-3.49,72500898.0,11677672896.59
09988.HK,20260120,159.8,162.2,158.6,159.7,160.4,-0.7,-0.44,55456218.0,8868225709.4
09988.HK,20260121,158.3,164.9,158.3,163.2,159.7,3.5,2.19,67441221.0,10924846933.0
09988.HK,20260122,166.0,166.5,162.8,164.8,163.2,1.6,0.98,59810988.0,9836717328.78
09988.HK,20260123,171.2,172.0,168.3,168.5,164.8,3.7,2.25,93252549.0,15805618024.44
09988.HK,20260126,169.5,170.2,164.5,165.2,168.5,-3.3,-1.96,67819829.0,11255344158.25
09988.HK,20260127,166.8,169.9,164.9,169.9,165.2,4.7,2.85,73661350.0,12414178175.48
09988.HK,20260128,170.5,173.8,168.6,173.5,169.9,3.6,2.12,102209414.0,17569439693.96
09988.HK,20260129,171.1,174.2,170.3,173.3,173.5,-0.2,-0.12,67539478.0,11666256998.58
09988.HK,20260130,170.0,170.7,167.0,169.2,173.3,-4.1,-2.37,75134065.0,12703476269.115
09988.HK,20260202,164.7,167.9,161.0,163.3,169.2,-5.9,-3.49,100747598.0,16482826406.12
09988.HK,20260203,165.4,166.0,155.2,161.0,163.3,-2.3,-1.41,111086312.0,17742273746.48
09988.HK,20260204,159.4,162.3,157.1,159.5,161.0,-1.5,-0.93,71689072.0,11420543580.2
09988.HK,20260205,155.5,160.4,154.0,159.6,159.5,0.1,0.06,89720504.0,14067922076.65
09988.HK,20260206,153.5,156.8,153.2,155.0,159.6,-4.6,-2.88,78125091.0,12098851447.5
09988.HK,20260209,159.5,160.2,157.6,157.9,155.0,2.9,1.87,58582947.0,9290992817.6
09988.HK,20260210,159.7,162.6,158.7,160.5,157.9,2.6,1.65,58402811.0,9385856574.8
09988.HK,20260211,161.3,162.7,159.6,160.1,160.5,-0.4,-0.25,51639528.0,8312329228.27
09988.HK,20260212,157.9,159.5,156.1,158.6,160.1,-1.5,-0.94,56768511.0,8953857552.885
09988.HK,20260213,154.0,156.4,153.9,155.4,158.6,-3.2,-2.02,69945660.0,10844812894.5
09988.HK,20260216,152.6,154.9,150.5,154.7,155.4,-0.7,-0.45,29215118.0,4460519828.38
09988.HK,20260220,150.0,151.7,147.1,147.1,154.7,-7.6,-4.91,70273864.0,10443089472.9
09988.HK,20260223,150.1,153.3,149.5,152.2,147.1,5.1,3.47,44852186.0,6820099085.31
09988.HK,20260224,149.9,150.4,147.0,148.0,152.2,-4.2,-2.76,82838070.0,12279106621.95
09988.HK,20260225,149.8,150.2,148.1,148.3,148.0,0.3,0.2,47742854.0,7109781788.7
09988.HK,20260226,148.3,148.8,143.0,143.0,148.3,-5.3,-3.57,98872855.0,14310258859.86
09988.HK,20260227,143.0,145.5,142.2,142.9,143.0,-0.1,-0.07,88719769.0,12741757997.72
09988.HK,20260302,139.6,140.5,135.6,136.4,142.9,-6.5,-4.55,134838521.0,18547876671.314
09988.HK,20260303,139.0,139.2,134.6,134.8,136.4,-1.6,-1.17,88507248.0,12087707586.4
09988.HK,20260304,131.2,133.0,127.7,129.9,134.8,-4.9,-3.64,163124992.0,21165511185.91
09988.HK,20260305,130.5,131.4,125.1,126.3,129.9,-3.6,-2.77,141677427.0,18111397452.14
09988.HK,20260306,126.9,132.0,126.5,130.7,126.3,4.4,3.48,100859931.0,13113260131.26
09988.HK,20260309,125.2,129.4,125.1,128.7,130.7,-2.0,-1.53,102893047.0,13083539474.75
09988.HK,20260310,131.0,134.2,130.0,133.5,128.7,4.8,3.73,98445281.0,13053180189.2
09988.HK,20260311,135.5,136.1,132.4,133.2,133.5,-0.3,-0.22,61695884.0,8269461529.0
