ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
03690.HK,20260102,103.3,105.8,102.2,104.6,103.3,1.2999999999999972,1.2584704743465513,24476486.0,2560240398.252
03690.HK,20260105,104.2,106.2,103.7,105.4,104.6,0.8,0.76,40887247.0,4309515896.189
03690.HK,20260106,106.2,108.0,105.7,106.1,105.4,0.7,0.66,47681423.0,5058998907.544
03690.HK,20260107,106.1,106.1,103.5,104.5,106.1,-1.6,-1.51,43863326.0,4583717567.0
03690.HK,20260108,103.7,103.9,99.65,101.0,104.5,-3.5,-3.35,71725824.0,7244308224.0
03690.HK,20260109,100.0,100.6,98.2,98.5,101.0,-2.5,-2.48,71605201.0,7053112298.5
03690.HK,20260112,101.3,106.4,100.8,105.0,98.5,6.5,6.6,108743770.0,11418095850.0
03690.HK,20260113,106.5,107.0,103.9,104.9,105.0,-0.1,-0.1,52013088.0,5456173010.566
03690.HK,20260114,104.9,104.9,100.4,101.5,104.9,-3.4,-3.24,80092305.0,8129368957.5
03690.HK,20260115,102.0,102.3,100.2,100.8,101.5,-0.7,-0.69,39093176.0,3940592260.103
03690.HK,20260116,101.9,102.5,99.35,100.0,100.8,-0.8,-0.79,37523001.0,3752300100.0
03690.HK,20260119,98.8,99.9,98.3,98.5,100.0,-1.5,-1.5,37288820.0,3672948770.0
03690.HK,20260120,98.3,99.45,97.05,97.35,98.5,-1.15,-1.17,45401371.0,4419823397.573
03690.HK,20260121,97.0,98.0,96.3,97.3,97.35,-0.05,-0.05,38515912.0,3747598355.141
03690.HK,20260122,97.35,98.1,96.2,97.0,97.3,-0.3,-0.31,34480371.0,3344595987.0
03690.HK,20260123,97.3,98.8,97.0,97.55,97.0,0.55,0.57,37200891.0,3628947030.578
03690.HK,20260126,97.95,97.95,96.2,97.1,97.55,-0.45,-0.46,31250095.0,3034384176.816
03690.HK,20260127,97.1,97.55,96.2,96.55,97.1,-0.55,-0.57,27407450.0,2646189381.141
03690.HK,20260128,97.0,98.4,96.1,98.35,96.55,1.8,1.86,39950423.0,3929124041.09
03690.HK,20260129,97.3,98.9,97.05,98.6,98.35,0.25,0.25,27680308.0,2729278326.563
03690.HK,20260130,98.05,98.95,97.2,97.2,98.6,-1.4,-1.42,28956959.0,2814616326.43
03690.HK,20260202,96.5,96.95,94.05,94.85,97.2,-2.35,-2.42,54620063.0,5180712892.206
03690.HK,20260203,95.1,95.65,91.15,93.2,94.85,-1.65,-1.74,50436330.0,4700665802.081
03690.HK,20260204,91.5,92.65,90.7,92.15,93.2,-1.05,-1.13,53329150.0,4914281253.874
03690.HK,20260205,90.2,93.95,90.2,93.8,92.15,1.65,1.79,39784843.0,3731818394.814
03690.HK,20260206,92.55,94.5,91.15,91.4,93.8,-2.4,-2.56,39226920.0,3585340547.856
03690.HK,20260209,93.0,93.2,90.4,91.05,91.4,-0.35,-0.38,42466515.0,3866576320.348
03690.HK,20260210,91.05,91.7,88.1,88.8,91.05,-2.25,-2.47,74372071.0,6604240131.766
03690.HK,20260211,88.4,89.4,87.25,88.85,88.8,0.05,0.06,37829736.0,3361171985.876
03690.HK,20260212,86.65,87.8,84.3,84.85,88.85,-4.0,-4.5,90415198.0,7671729412.337
03690.HK,20260213,84.05,84.25,80.8,82.15,84.85,-2.7,-3.18,99656113.0,8186749835.013
03690.HK,20260216,82.05,82.05,82.05,82.05,82.15,-0.1,-0.12,0.0,0.0
03690.HK,20260220,81.15,82.0,80.1,80.75,82.05,-1.3,-1.58,27220396.0,2198046977.0
03690.HK,20260223,83.2,87.5,82.65,85.0,80.75,4.25,5.26,65205703.0,5542484755.0
03690.HK,20260224,84.2,84.2,80.65,81.4,85.0,-3.6,-4.24,67807380.0,5519520835.466
03690.HK,20260225,82.4,83.6,81.5,82.7,81.4,1.3,1.6,39932923.0,3302452610.234
