ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
META,20260102,662.73,664.39,643.5,650.41,,,,13726500.0,8927852496.37
META,20260105,651.01,664.54,647.75,658.79,650.41,8.38,1.288419,12213700.0,8046263154.63
META,20260106,659.57,665.52,651.9,660.62,658.79,1.83,0.277785,11074400.0,7315970073.93
META,20260107,655.64,659.15,644.81,648.69,660.62,-11.93,-1.805878,12846300.0,8333266378.36
META,20260108,645.88,647.1,635.72,646.06,648.69,-2.63,-0.405433,11921700.0,7702133472.89
META,20260109,645.44,654.95,642.85,653.06,646.06,7.0,1.083491,11634900.0,7598287765.59
META,20260112,652.53,653.97,641.23,641.97,653.06,-11.09,-1.698164,14797200.0,9499358050.49
META,20260113,642.27,642.27,624.1,631.09,641.97,-10.8799,-1.694775,18030400.0,11378805620.21
META,20260114,626.5,628.45,614.82,615.52,631.09,-15.57,-2.467161,15527900.0,9557733311.28
META,20260115,618.48,624.17,614.23,620.8,615.52,5.28,0.857806,13076100.0,8117642720.38
META,20260116,624.18,629.08,620.08,620.25,620.8,-0.55,-0.088593,17012500.0,10552003125.0
META,20260120,607.88,611.4,600.0,604.12,620.25,-16.13,-2.600565,15169600.0,9164258677.93
META,20260121,606.74,618.27,600.08,612.96,604.12,8.84,1.46329,14494700.0,8884671630.49
META,20260122,629.35,660.57,626.55,647.63,612.96,34.67,5.656157,21394700.0,13855849665.47
META,20260123,644.77,666.49,644.45,658.76,647.63,11.13,1.718575,22797700.0,15018213074.63
META,20260126,665.13,675.28,661.29,672.36,658.76,13.6,2.064481,16327400.0,10977890424.83
META,20260127,674.59,676.82,664.66,672.97,672.36,0.61,0.090723,13297400.0,8948750888.43
META,20260128,674.5,677.68,666.1,668.73,672.97,-4.24,-0.630042,25709600.0,17192780305.86
META,20260129,737.43,744.0,712.55,738.31,668.73,69.58,10.4048,59852900.0,44189994452.87
META,20260130,727.5,732.17,713.59,716.5,738.31,-21.81,-2.954043,23744600.0,17013005900.0
META,20260202,714.6,721.3,703.52,706.41,716.5,-10.09,-1.408238,14365200.0,10147720546.22
META,20260203,707.37,717.0,686.41,691.7,706.41,-14.71,-2.082355,13760700.0,9518276357.98
META,20260204,687.73,688.83,667.46,668.99,691.7,-22.71,-3.283218,16882800.0,11294424207.13
META,20260205,663.58,681.5,653.5,670.21,668.99,1.22,0.182369,17131800.0,11481904054.43
META,20260206,665.49,671.99,646.5,661.46,670.21,-8.75,-1.305561,18159300.0,12011650977.01
META,20260209,663.18,683.31,658.78,677.22,661.46,15.7599,2.3826,14837500.0,10048251315.31
META,20260210,677.6,680.65,669.79,670.72,677.22,-6.5,-0.959806,10455800.0,7012913869.68
META,20260211,674.0,679.27,657.1,668.69,670.72,-2.03,-0.302655,14323800.0,9578181856.97
META,20260212,669.97,676.0,645.28,649.81,668.69,-18.88,-2.823432,14960100.0,9721222544.48
META,20260213,645.1,651.43,634.57,639.77,649.81,-10.04,-1.545064,12336400.0,7892458868.95
META,20260217,639.5,642.6,628.8,639.29,639.77,-0.48,-0.075033,12674700.0,8102808684.5
META,20260218,633.8,645.0,628.15,643.22,639.29,3.93,0.614743,14649200.0,9422657994.82
META,20260219,638.57,647.19,636.72,644.78,643.22,1.5601,0.242539,10035700.0,6470818940.01
META,20260220,639.69,663.35,638.78,655.66,644.78,10.8799,1.687388,14183500.0,9299553229.1
META,20260223,652.54,657.7,636.0,637.25,655.66,-18.41,-2.807854,8605900.0,5484109775.0
META,20260224,633.08,641.11,628.98,639.3,637.25,2.05,0.321693,10135600.0,6479688956.27
META,20260225,642.53,653.88,642.14,653.69,639.3,14.39,2.250902,11330700.0,7406765310.66
META,20260226,650.55,661.0,647.5,657.01,653.69,3.32,0.507887,10637700.0,6989075380.88
META,20260227,643.45,649.44,638.12,648.18,657.01,-8.83,-1.34397,15703000.0,10178370424.99
META,20260302,637.16,659.94,634.5,653.56,648.18,5.38,0.830017,9816100.0,6415410292.03
META,20260303,648.29,659.04,638.84,655.08,653.56,1.52,0.232575,12263800.0,8033770313.59
META,20260304,657.96,672.77,657.67,667.73,655.08,12.65,1.931056,10810100.0,7218227861.87
META,20260305,661.93,670.7,650.31,660.57,667.73,-7.16,-1.072286,13341400.0,8812928695.72
META,20260306,647.9,649.47,636.11,644.86,660.57,-15.71,-2.378252,13159400.0,8485970491.24
META,20260309,634.78,647.75,626.78,647.39,644.86,2.53,0.392338,13489700.0,8733097080.6
META,20260310,653.56,660.3,649.0,654.07,647.39,6.68,1.031834,9859300.0,6448672423.21
META,20260311,654.76,659.12,648.36,654.86,654.07,0.79,0.120779,8977200.0,5878809060.5
META,20260312,648.75,653.5,636.9,638.18,654.86,-16.68,-2.547108,11617500.0,7414056064.91
META,20260313,623.89,629.17,609.55,613.71,638.18,-24.47,-3.834337,18957600.0,11634469112.55
META,20260316,632.0,634.75,623.1,627.45,613.71,13.74,2.238841,15134900.0,9496393189.75
META,20260317,627.99,636.55,621.7,622.66,627.45,-4.79,-0.763414,10348800.0,6443783530.08
META,20260318,616.34,622.65,614.61,615.68,622.66,-6.98,-1.120994,11726300.0,7219648298.11
META,20260319,612.15,613.0,602.26,606.7,615.68,-8.98,-1.458547,13247700.0,8037379751.72
META,20260320,603.53,603.96,587.25,593.66,606.7,-13.04,-2.149339,21214900.0,12594436964.26
META,20260323,605.79,608.64,599.01,604.06,593.66,10.4,1.751849,13638000.0,8238170246.7
META,20260324,599.1,601.0,591.0,592.92,604.06,-11.14,-1.84419,10739700.0,6367782740.46
META,20260325,598.74,603.67,593.4,594.89,592.92,1.97,0.332259,12585000.0,7486690834.35
META,20260326,582.49,583.0,543.35,547.54,594.89,-47.35,-7.959461,35780100.0,19591035167.82
META,20260327,540.1,543.6,520.26,525.72,547.54,-21.82,-3.985098,30133000.0,15841519877.2
META,20260330,536.38,539.55,528.54,536.38,525.72,10.66,2.027702,22795200.0,12226889487.3
META,20260331,549.98,573.69,546.77,572.13,536.38,35.75,6.665051,32898300.0,18822104539.64
META,20260401,580.13,592.55,573.82,579.23,572.13,7.1,1.240972,23608100.0,13674519301.9
META,20260402,566.04,578.5,559.7,574.46,579.23,-4.77,-0.8235,13518500.0,7765837807.04
META,20260406,577.69,582.79,572.0,573.02,574.46,-1.44,-0.250671,9515700.0,5452686599.85
META,20260407,572.48,575.23,564.76,575.05,573.02,2.03,0.354258,9580800.0,5509438923.05
META,20260408,606.0,629.95,591.83,612.42,575.05,37.37,6.498565,32036600.0,19619854024.5
META,20260409,626.97,637.5,623.0,628.39,612.42,15.97,2.607693,19012900.0,11947516509.51
META,20260410,634.47,638.58,624.33,629.86,628.39,1.47,0.233926,13294800.0,8373862533.25
META,20260413,629.5,635.0,624.4,634.53,629.86,4.67,0.741442,9538900.0,6052718496.46
META,20260414,643.22,666.26,639.37,662.49,634.53,27.96,4.406405,17818000.0,11804246646.0
META,20260415,667.0,678.5,664.22,671.58,662.49,9.09,1.3721,14952600.0,10041867363.54
META,20260416,675.99,677.58,667.75,676.87,671.58,5.29,0.787691,9544800.0,6460588729.39
META,20260417,678.6,691.52,675.13,688.55,676.87,11.68,1.725589,16283500.0,11212003726.23
META,20260420,681.36,683.38,668.0,670.91,688.55,-17.64,-2.561908,12534000.0,8409185603.39
META,20260421,671.0,676.2,667.33,668.84,670.91,-2.0699,-0.308528,8660100.0,5792221516.57
META,20260422,674.36,678.38,669.75,674.72,668.84,5.8799,0.879126,9215600.0,6217949362.01
META,20260423,663.7,669.56,653.05,659.15,674.72,-15.5699,-2.307616,11667000.0,7690303334.84
META,20260424,660.32,680.67,653.84,675.03,659.15,15.88,2.409164,13348300.0,9010503340.06
META,20260427,671.0,682.5,670.84,678.62,675.03,3.59,0.531823,12805200.0,8689864761.47
META,20260428,674.24,678.18,665.63,671.34,678.62,-7.28,-1.072761,10606800.0,7120769396.85
META,20260429,668.91,674.25,663.81,669.12,671.34,-2.22,-0.330687,18947500.0,12678151107.48
META,20260430,619.32,620.85,600.0,611.91,669.12,-57.21,-8.550039,52765000.0,32287429732.97
META,20260501,614.69,618.88,606.11,608.75,611.91,-3.16,-0.516411,21404000.0,13029685000.0
META,20260504,607.94,614.0,602.75,610.41,608.75,1.66,0.272686,16203900.0,9891022163.84
META,20260505,613.31,614.35,600.36,604.96,610.41,-5.45,-0.892835,17171300.0,10387950025.3
META,20260506,601.05,619.95,598.1,612.88,604.96,7.92,1.309175,19915500.0,12205811737.24
META,20260507,614.72,624.98,613.54,616.81,612.88,3.93,0.641234,12307400.0,7591327363.95
META,20260508,615.2,616.77,606.06,609.63,616.81,-7.18,-1.164053,13557000.0,8264753976.2
META,20260511,604.57,604.91,598.08,598.86,609.63,-10.77,-1.766649,15940600.0,9546187482.5
META,20260512,594.82,603.75,592.6,603.0,598.86,4.14,0.691316,11351600.0,6845014800.0
META,20260513,598.83,619.9,596.66,616.63,603.0,13.63,2.260366,14634400.0,9024010143.46
META,20260514,616.0,623.73,615.0,618.43,616.63,1.8,0.291907,10651200.0,6587021537.99
META,20260515,613.99,621.2,609.31,614.23,618.43,-4.2,-0.679141,13272600.0,8152428838.77
META,20260518,609.11,615.59,603.69,611.21,614.23,-3.02,-0.491666,13772400.0,8417828906.62
META,20260519,608.92,613.93,600.55,602.61,611.21,-8.6,-1.407051,11749900.0,7080607066.88
META,20260520,600.76,608.0,597.81,605.06,602.61,2.45,0.406567,11329700.0,6855148254.34
META,20260521,600.0,609.6,594.81,607.38,605.06,2.32,0.383434,13476100.0,8185113683.8
META,20260522,607.88,614.81,606.95,610.26,607.38,2.88,0.474169,11688600.0,7133085150.15
META,20260526,608.89,614.47,605.3,612.34,610.26,2.08,0.340841,12234200.0,7491490356.56
META,20260527,609.4,638.5,609.0,635.26,612.34,22.92,3.743016,23143600.0,14702203562.01
META,20260528,639.5,643.0,629.31,635.29,635.26,0.03,0.004717,16772400.0,10655337627.47
META,20260529,633.5,634.5,623.35,632.51,635.29,-2.78,-0.43759,19806500.0,12527809508.42
META,20260601,630.4,635.75,599.53,600.47,632.51,-32.04,-5.065539,29138800.0,17496974382.32
META,20260602,603.24,608.88,596.68,597.63,600.47,-2.84,-0.472957,18252000.0,10907942849.12
META,20260603,603.0,624.15,600.27,622.98,597.63,25.35,4.241751,23020100.0,14341061448.39
META,20260604,623.67,642.4,622.43,627.57,622.98,4.59,0.736786,21469200.0,13473426001.25
META,20260605,623.46,629.15,582.91,593.0,627.57,-34.57,-5.50855,30091600.0,17844318800.0
META,20260608,592.0,592.0,579.22,585.39,593.0,-7.61,-1.283303,19512400.0,11422364121.83
META,20260609,591.0,597.63,581.01,584.59,585.39,-0.8,-0.136659,16977400.0,9924818721.94
META,20260610,580.73,591.32,570.6,570.98,584.59,-13.61,-2.328135,17064000.0,9743202386.72
META,20260611,565.83,572.17,557.01,568.43,570.98,-2.55,-0.446598,17628000.0,10020283910.89
META,20260612,572.95,576.07,560.9,566.98,568.43,-1.45,-0.255091,14326400.0,8122781992.19
META,20260615,579.9,601.27,579.3,593.48,566.98,26.5,4.673886,17653300.0,10476880139.21
META,20260616,593.65,605.81,592.0,600.21,593.48,6.73,1.133996,11344400.0,6809022573.27
META,20260617,592.0,593.81,566.19,567.58,600.21,-32.63,-5.436431,20478300.0,11623073863.97
META,20260618,572.82,580.22,563.1,577.22,567.58,9.64,1.698431,28824600.0,16638134767.53
META,20260622,572.02,575.81,559.81,563.85,577.22,-13.37,-2.316274,15405500.0,8686390798.89
META,20260623,562.25,572.2,561.02,562.2,563.85,-1.65,-0.292625,13103300.0,7366675419.95
META,20260624,561.89,569.04,555.55,557.67,562.2,-4.53,-0.805768,13963600.0,7787080573.36
META,20260625,555.55,556.34,540.18,542.87,557.67,-14.8,-2.653897,16968600.0,9211743799.15
META,20260626,543.34,556.85,540.4,550.25,542.87,7.38,1.359442,18867700.0,10381951925.0
META,20260629,560.0,570.9,558.0,562.6,550.25,12.35,2.24443,15011400.0,8445413273.51
META,20260630,560.94,565.54,551.43,563.29,562.6,0.69,0.122645,18111100.0,10201801121.05
META,20260701,607.91,628.28,595.1,612.91,563.29,49.62,8.808961,45536300.0,27909652410.1
META,20260702,607.9,610.0,580.42,582.9,612.91,-30.0099,-4.896306,21705900.0,12652369639.93
META,20260706,594.84,603.58,581.76,600.29,582.9,17.389999999999986,2.98,17674067.0,10527728916.78
META,20260707,607.59,625.37,603.66,615.58,600.29,15.290000000000076,2.55,18560848.0,11397489171.56
META,20260708,614.39,616.0,598.01,603.12,615.58,-12.460000000000036,-2.02,13606508.0,8212301652.24
META,20260709,583.99,633.27,577.07,631.48,603.12,28.360000000000014,4.7,26579688.0,16259507751.04
META,20260710,660.33,677.86,658.01,669.21,631.48,37.73000000000002,5.97,40608860.0,27165324917.11
META,20260713,661.38,676.62,654.2,656.73,669.21,-12.480000000000018,-1.86,19840704.0,13110423323.26
META,20260714,652.0,666.5,649.05,661.04,656.73,4.309999999999945,0.66,16748239.0,11053600584.94
META,20260715,663.6,686.08,656.66,681.31,661.04,20.269999999999985,3.07,19003379.0,12855331332.67
META,20260716,677.27,681.9,660.16,664.54,681.31,-16.769999999999982,-2.46,15815977.0,10589066896.55
META,20260717,647.7,652.2,626.0,646.01,664.54,-18.529999999999973,-2.79,22267864.0,14303221108.63
META,20260720,646.7,653.3,636.01,645.85,646.01,,,10225188.0,6608404747.68
META,20260721,654.18,655.88,643.2,643.81,645.85,,,9140453.0,5910635176.93
META,20260722,647.7,649.0,624.0,627.17,643.81,,,11019559.0,6935480786.99
META,20260723,608.41,614.65,597.22,606.1,627.17,,,15494844.0,9378647900.04
META,20260724,605.3,609.98,594.45,595.19,606.1,,,11503473.0,6915300485.23
META,20260727,607.22,611.26,593.13,593.87,595.19,,,11195250.0,6711279098.95
META,20260728,596.82,601.0,587.0,593.41,593.87,,,12009254.0,7131893160.22
META,20260729,593.25,599.97,582.22,585.61,593.41,,,22371067.0,13194041451.86
