ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
MSFT,20260102,484.39,484.66,470.16,472.94,,,,25571600.0,12093832566.43
MSFT,20260105,474.06,476.07,469.5,472.85,472.94,-0.09,-0.019029,25250300.0,11939604509.12
MSFT,20260106,473.8,478.74,469.75,478.51,472.85,5.66,1.196998,23037700.0,11023770051.98
MSFT,20260107,479.76,489.7,477.95,483.47,478.51,4.96,1.036549,25564200.0,12359523805.21
MSFT,20260108,481.24,482.66,475.86,478.11,483.47,-5.36,-1.108655,18162600.0,8683720419.95
MSFT,20260109,474.06,479.82,472.2,479.28,478.11,1.17,0.244716,18491000.0,8862366457.43
MSFT,20260112,476.67,480.99,475.68,477.18,479.28,-2.1,-0.438159,23519900.0,11223225709.74
MSFT,20260113,474.68,475.78,465.95,470.67,477.18,-6.51,-1.364261,28545800.0,13435652069.31
MSFT,20260114,466.46,468.2,457.17,459.38,470.67,-11.29,-2.39871,28184300.0,12947303871.62
MSFT,20260115,464.12,464.25,455.9,456.66,459.38,-2.72,-0.592103,23225800.0,10606293913.06
MSFT,20260116,457.83,463.19,456.48,459.86,456.66,3.2,0.700736,34246700.0,15748686960.34
MSFT,20260120,451.22,456.8,449.28,454.52,459.86,-5.34,-1.161222,26130000.0,11876607312.93
MSFT,20260121,452.6,452.69,438.68,444.11,454.52,-10.41,-2.290329,37980500.0,16867519298.65
MSFT,20260122,447.62,452.84,444.7,451.14,444.11,7.03,1.582948,25349400.0,11436128687.33
MSFT,20260123,451.87,471.1,450.53,465.95,451.14,14.81,3.282794,38000200.0,17706193653.87
MSFT,20260126,465.31,474.25,462.0,470.28,465.95,4.33,0.929281,29291200.0,13775065500.24
MSFT,20260127,473.7,482.87,473.16,480.58,470.28,10.3,2.190182,29213900.0,14039615669.72
MSFT,20260128,483.21,483.74,478.0,481.63,480.58,1.05,0.21849,36875400.0,17760299082.06
MSFT,20260129,439.99,442.5,421.02,433.5,481.63,-48.13,-9.993149,128855300.0,55858772550.0
MSFT,20260130,439.17,439.6,426.45,430.29,433.5,-3.21,-0.740482,58566800.0,25200708872.45
MSFT,20260202,430.24,430.74,422.25,423.37,430.29,-6.92,-1.608221,42219900.0,17874638856.85
MSFT,20260203,422.01,422.05,408.56,411.21,423.37,-12.16,-2.872193,61424100.0,25258203636.14
MSFT,20260204,411.0,419.8,409.24,414.19,411.21,2.98,0.724693,45012400.0,18643686065.89
MSFT,20260205,407.44,408.3,392.32,393.67,414.19,-20.52,-4.954245,66289200.0,26096070254.11
MSFT,20260206,399.17,401.79,392.92,401.14,393.67,7.47,1.897529,53515300.0,21467128225.92
MSFT,20260209,404.85,414.89,400.87,413.6,401.14,12.46,3.106145,45480500.0,18810735077.59
MSFT,20260210,419.62,423.68,412.7,413.27,413.6,-0.33,-0.079791,44857900.0,18538423840.18
MSFT,20260211,416.18,416.46,401.01,404.37,413.27,-8.9,-2.153554,42491000.0,17182085462.52
MSFT,20260212,405.0,406.2,398.01,401.84,404.37,-2.53,-0.625664,40802400.0,16396036266.58
MSFT,20260213,404.45,405.54,398.05,401.32,401.84,-0.52,-0.129402,34091600.0,13681641161.69
MSFT,20260217,399.22,400.52,394.53,396.86,401.32,-4.46,-1.111338,32078800.0,12730792098.1
MSFT,20260218,398.13,402.56,396.32,399.6,396.86,2.74,0.690425,23223400.0,9280070781.74
MSFT,20260219,400.69,404.43,396.67,398.46,399.6,-1.14,-0.285289,28234000.0,11250119398.74
MSFT,20260220,396.11,400.12,395.16,397.23,398.46,-1.23,-0.308684,34015200.0,13511858269.7
MSFT,20260223,395.0,395.36,383.1,384.47,397.23,-12.76,-3.212247,43238300.0,16623829253.78
MSFT,20260224,384.14,389.36,381.71,389.0,384.47,4.53,1.178245,33884700.0,13181148300.0
MSFT,20260225,390.53,401.47,390.16,400.6,389.0,11.6,2.982007,43625500.0,17476375566.27
MSFT,20260226,404.71,407.49,398.74,401.72,400.6,1.12,0.279579,34405900.0,13821538190.0
MSFT,20260227,390.88,396.82,389.88,392.74,401.72,-8.98,-2.235391,51367200.0,20173953626.37
MSFT,20260302,392.86,401.19,390.63,398.55,392.74,5.81,1.47935,35474900.0,14138520961.96
MSFT,20260303,393.14,406.7,392.67,403.93,398.55,5.38,1.349895,38199200.0,15429802576.22
MSFT,20260304,401.27,411.03,400.31,405.2,403.93,1.27,0.314416,35808000.0,14509402037.11
MSFT,20260305,404.42,411.61,404.4,410.68,405.2,5.48,1.352414,39001300.0,16017053598.35
MSFT,20260306,409.2,413.05,408.51,408.96,410.68,-1.72,-0.418818,31123900.0,12728429878.05
MSFT,20260309,404.92,410.21,403.5,409.41,408.96,0.45,0.110038,30131900.0,12336301289.35
MSFT,20260310,410.03,410.2,402.93,405.76,409.41,-3.65,-0.891525,31706400.0,12865189173.63
MSFT,20260311,405.57,409.01,401.59,404.88,405.76,-0.88,-0.216878,25512100.0,10329339172.57
MSFT,20260312,404.63,406.12,401.71,401.86,404.88,-3.02,-0.745905,27263900.0,10956270454.63
MSFT,20260313,401.0,404.8,394.25,395.55,401.86,-6.31,-1.570198,26848000.0,10619726072.27
MSFT,20260316,398.07,400.63,394.79,399.95,395.55,4.4,1.112381,27733700.0,11092093653.55
MSFT,20260317,400.27,404.4,397.75,399.41,399.95,-0.54,-0.135019,26228300.0,10475845399.05
MSFT,20260318,397.13,398.0,391.0,391.79,399.41,-7.62,-1.907813,25908500.0,10150691436.39
MSFT,20260319,390.1,392.49,387.06,389.02,391.79,-2.77,-0.707016,25138800.0,9779495699.82
MSFT,20260320,386.79,387.0,380.12,381.87,389.02,-7.15,-1.83795,50853200.0,19419311235.69
MSFT,20260323,383.9,387.21,381.68,383.0,381.87,1.13,0.295914,29680100.0,11367478300.0
MSFT,20260324,382.36,382.47,371.85,372.74,383.0,-10.26,-2.678854,42733600.0,15928521646.68
MSFT,20260325,376.92,377.06,369.63,371.04,372.74,-1.7,-0.456077,31181200.0,11569472714.44
MSFT,20260326,370.82,374.72,365.19,365.97,371.04,-5.07,-1.366431,36836600.0,13481090546.97
MSFT,20260327,361.9,362.45,356.51,356.77,365.97,-9.2,-2.513871,37883400.0,13515660201.8
MSFT,20260330,361.9,365.36,356.28,358.96,356.77,2.19,0.613842,44797000.0,16080330737.21
MSFT,20260331,364.55,372.9,363.07,370.17,358.96,11.21,3.122917,45244400.0,16748120155.53
MSFT,20260401,373.49,373.99,368.2,369.37,370.17,-0.8,-0.216122,29417200.0,10865831020.36
MSFT,20260402,367.21,373.64,364.15,373.46,369.37,4.09,1.10729,24099100.0,9000049680.08
MSFT,20260406,373.49,373.73,369.5,372.88,373.46,-0.58,-0.155301,16146600.0,6020744286.84
MSFT,20260407,370.34,372.45,366.56,372.29,372.88,-0.59,-0.158227,21443300.0,7983126340.23
MSFT,20260408,384.98,385.0,371.41,374.33,372.29,2.04,0.547954,33064800.0,12377146140.01
MSFT,20260409,372.5,373.5,367.05,373.07,374.33,-1.26,-0.336596,30435300.0,11354497593.91
MSFT,20260410,372.98,375.64,370.03,370.87,373.07,-2.2,-0.589705,28111100.0,10425563519.74
MSFT,20260413,373.61,384.54,371.02,384.37,370.87,13.5,3.64009,35745800.0,13739612971.46
MSFT,20260414,387.92,394.69,386.52,393.11,384.37,8.74,2.273848,37504500.0,14743393445.62
MSFT,20260415,398.0,414.37,396.73,411.22,393.11,18.11,4.606857,45063400.0,18530971403.01
MSFT,20260416,419.86,420.82,412.14,420.26,411.22,9.04,2.198339,41642400.0,17500635430.66
MSFT,20260417,424.82,431.58,420.69,422.79,420.26,2.53,0.602008,48568200.0,20534149693.01
MSFT,20260420,421.15,423.33,416.3,418.07,422.79,-4.72,-1.116394,27582200.0,11531290556.02
MSFT,20260421,420.24,427.18,417.2,424.16,418.07,6.09,1.456693,32048500.0,13593691877.37
MSFT,20260422,426.19,433.7,423.67,432.92,424.16,8.76,2.065261,29378200.0,12718410738.48
MSFT,20260423,419.89,423.66,411.41,415.75,432.92,-17.17,-3.966094,38308000.0,15926551000.0
MSFT,20260424,416.97,424.95,415.8,424.62,415.75,8.87,2.133493,27457400.0,11658961053.93
MSFT,20260427,422.38,427.11,417.07,424.82,424.62,0.2,0.047104,30867300.0,13113046612.08
MSFT,20260428,424.57,429.92,421.9,429.25,424.82,4.43,1.042793,30438100.0,13065554425.0
MSFT,20260429,424.58,426.82,420.29,424.46,429.25,-4.79,-1.115902,38288300.0,16251851490.83
MSFT,20260430,410.81,414.42,398.01,407.78,424.46,-16.68,-3.929697,70909400.0,28915435045.44
MSFT,20260501,412.8,417.11,410.44,414.44,407.78,6.66,1.633235,31372400.0,13001977532.59
MSFT,20260504,411.54,420.78,410.8,413.62,414.44,-0.82,-0.197859,28066500.0,11608865592.96
MSFT,20260505,415.32,416.78,408.8,411.38,413.62,-2.24,-0.541558,25700900.0,10572836367.49
MSFT,20260506,408.0,418.42,405.11,413.96,411.38,2.58,0.627154,30285900.0,12537150905.21
MSFT,20260507,420.11,427.98,418.76,420.77,413.96,6.81,1.645086,34942400.0,14702713264.11
MSFT,20260508,417.39,418.63,414.0,415.12,420.77,-5.65,-1.342775,33383800.0,13858282892.99
