ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
00100.HK,20260109,235.4,351.8,220.0,345.0,165.0,180.0,109.09,15921864.0,4004592508.92
00100.HK,20260112,378.8,479.0,352.2,398.0,345.0,53.0,15.36,6614187.0,2749135349.3
00100.HK,20260113,425.0,429.2,353.0,365.0,398.0,-33.0,-8.29,2823836.0,1088407088.4
00100.HK,20260114,375.0,391.6,333.4,366.4,365.0,1.4,0.38,2939786.0,1073178440.18
00100.HK,20260115,351.8,377.4,344.0,358.0,366.4,-8.4,-2.29,1154693.0,413942103.66
00100.HK,20260116,365.0,440.0,351.0,438.0,358.0,80.0,22.35,2857885.0,1146365701.5
00100.HK,20260119,415.2,423.0,375.4,378.0,438.0,-60.0,-13.7,1644284.0,648958771.4
00100.HK,20260120,390.0,398.0,371.0,390.0,378.0,12.0,3.17,1061046.0,411708375.28
00100.HK,20260121,388.4,422.8,381.0,404.8,390.0,14.8,3.79,1076264.0,439985840.4
00100.HK,20260122,410.0,416.0,392.0,395.0,404.8,-9.8,-2.42,612205.0,245671859.8
00100.HK,20260123,400.6,405.0,375.0,376.0,395.0,-19.0,-4.81,784414.0,300488330.88
00100.HK,20260126,378.0,392.0,361.0,386.0,376.0,10.0,2.66,1008844.0,380169356.72
00100.HK,20260127,407.8,499.0,404.0,488.2,386.0,102.2,26.48,3598484.0,1612575401.76
00100.HK,20260128,494.0,500.0,462.2,488.0,488.2,-0.2,-0.04,1261133.0,608369016.89
00100.HK,20260129,498.8,590.0,482.6,500.0,488.0,12.0,2.46,2804481.0,1489144298.38
00100.HK,20260130,515.0,547.0,463.8,473.0,500.0,-27.0,-5.4,1510670.0,738576758.88
00100.HK,20260202,489.0,548.5,476.0,523.5,473.0,50.5,10.68,2278051.0,1181867524.54
00100.HK,20260203,525.0,599.5,524.0,581.0,523.5,57.5,10.98,1833956.0,1051438853.98
00100.HK,20260204,555.0,571.0,520.5,532.0,581.0,-49.0,-8.43,1280892.0,691086500.28
00100.HK,20260205,508.0,524.0,471.8,486.0,532.0,-46.0,-8.65,1377102.0,675225232.92
00100.HK,20260206,448.0,494.0,446.2,461.0,486.0,-25.0,-5.14,850004.0,398292582.42
00100.HK,20260209,480.0,530.0,465.0,515.0,461.0,54.0,11.71,1591226.0,796539362.1
00100.HK,20260210,520.0,570.0,520.0,539.0,515.0,24.0,4.66,1603329.0,879882598.565
00100.HK,20260211,552.5,555.0,501.0,513.0,539.0,-26.0,-4.82,1301089.0,681631392.0
00100.HK,20260212,542.0,636.5,527.5,588.0,513.0,75.0,14.62,3583964.0,2083503116.41
00100.HK,20260213,600.0,688.0,580.5,680.0,588.0,92.0,15.65,2863191.0,1858785785.54
00100.HK,20260216,700.0,886.0,692.0,847.0,680.0,167.0,24.56,2394138.0,1854389571.34
00100.HK,20260220,893.0,980.0,809.0,970.0,847.0,123.0,14.52,3834467.0,3527056065.2
00100.HK,20260223,873.0,937.0,820.0,840.5,970.0,-129.5,-13.35,2561828.0,2225781975.96
00100.HK,20260224,860.0,928.0,835.0,880.0,840.5,39.5,4.7,2181682.0,1934787303.84
00100.HK,20260225,841.0,862.5,710.0,753.5,880.0,-126.5,-14.38,2934562.0,2272251563.32
00100.HK,20260226,779.0,818.0,755.0,788.5,753.5,35.0,4.64,1470648.0,1156744791.0
00100.HK,20260227,777.0,777.5,665.0,763.5,788.5,-25.0,-3.17,3608541.0,2599182923.72
00100.HK,20260302,703.5,799.0,701.0,752.5,763.5,-11.0,-1.44,1904072.0,1440432871.84
00100.HK,20260303,827.5,908.0,784.0,821.0,752.5,68.5,9.1,3342140.0,2847537881.4
00100.HK,20260304,827.5,883.5,711.5,735.0,821.0,-86.0,-10.48,2602420.0,2067551063.12
00100.HK,20260305,792.0,832.0,749.5,800.0,735.0,65.0,8.84,1912469.0,1512899137.24
00100.HK,20260306,785.0,848.0,778.0,805.5,800.0,5.5,0.69,1140066.0,933530735.0
00100.HK,20260309,800.0,1000.0,786.0,997.0,805.5,191.5,23.77,3773615.0,3322762804.8
00100.HK,20260310,1046.0,1286.0,1026.0,1220.0,997.0,223.0,22.37,3714614.0,4253098117.5
00100.HK,20260311,1180.0,1320.0,1101.0,1141.0,1220.0,-79.0,-6.48,2626687.0,3097589393.42
00100.HK,20260312,1160.0,1221.0,1072.0,1084.0,1141.0,-57.0,-5.0,1634305.0,1850616147.6
00100.HK,20260313,1100.0,1124.0,992.0,1010.0,1084.0,-74.0,-6.83,1297992.0,1343709285.0
00100.HK,20260316,1028.0,1072.0,968.0,1027.0,1010.0,17.0,1.68,1835514.0,1860517377.52
00100.HK,20260317,1058.0,1100.0,1030.0,1033.0,1027.0,6.0,0.58,1112631.0,1184051612.48
00100.HK,20260318,1080.0,1330.0,1070.0,1238.0,1033.0,205.0,19.85,3003125.0,3601612611.22
00100.HK,20260319,1176.0,1236.0,1051.0,1066.0,1238.0,-172.0,-13.89,2153075.0,2408681251.08
00100.HK,20260320,1115.0,1127.0,998.0,1009.0,1066.0,-57.0,-5.35,1306380.0,1365628996.68
00100.HK,20260323,995.0,1048.0,900.0,916.5,1009.0,-92.5,-9.17,2078676.0,1977341821.5
00100.HK,20260324,964.5,1032.0,933.5,1030.0,916.5,113.5,12.38,1683910.0,1656935137.76
00100.HK,20260325,1060.0,1098.0,1000.0,1079.0,1030.0,49.0,4.76,2008355.0,2112909496.14
00100.HK,20260326,1100.0,1117.0,979.0,986.0,1079.0,-93.0,-8.62,1188866.0,1222247730.0
00100.HK,20260327,985.0,990.0,920.0,990.0,986.0,4.0,0.41,1153226.0,1099508239.26
00100.HK,20260330,949.0,1048.0,920.0,1014.0,990.0,24.0,2.42,1000772.0,995135955.5
00100.HK,20260331,990.0,1040.0,920.0,929.5,1014.0,-84.5,-8.33,1295562.0,1241741761.12
00100.HK,20260401,1020.0,1104.0,990.0,1060.0,929.5,130.5,14.04,2830960.0,2984034429.34
00100.HK,20260402,1021.0,1030.0,940.0,949.5,1060.0,-110.5,-10.42,1399397.0,1344942308.5
00100.HK,20260408,1030.0,1059.0,972.0,999.0,949.5,49.5,5.21,1957321.0,1992005377.4
00100.HK,20260409,1000.0,1097.0,981.0,998.0,999.0,-1.0,-0.1,2032116.0,2099951725.268
00100.HK,20260410,1022.0,1045.0,985.0,998.0,998.0,0.0,0.0,1051904.0,1063911148.6
00100.HK,20260413,1028.0,1030.0,944.0,960.0,998.0,-38.0,-3.81,1387372.0,1352387800.5
00100.HK,20260414,970.0,1008.0,944.0,951.0,960.0,-9.0,-0.94,898830.0,872360689.22
00100.HK,20260415,951.0,978.0,815.0,847.5,951.0,-103.5,-10.88,2149528.0,1869742552.04
00100.HK,20260416,815.5,918.0,815.5,900.5,847.5,53.0,6.25,1539168.0,1358512033.99
