ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
TSLA,20260102,457.8,458.34,435.3,438.07,,,,85535400.0,37470493304.48
TSLA,20260105,447.99,457.55,444.57,451.67,438.07,13.6,3.104528,67940800.0,30686822048.29
TSLA,20260106,446.38,448.25,428.78,432.96,451.67,-18.71,-4.14241,89093800.0,38574050886.7
TSLA,20260107,435.9,438.37,431.29,431.41,432.96,-1.55,-0.357998,59828800.0,25810742827.1
TSLA,20260108,427.89,436.89,424.37,435.8,431.41,4.39,1.01759,57041100.0,24858510683.7
TSLA,20260109,435.95,449.05,430.39,445.01,435.8,9.21,2.11336,67331500.0,29963191472.53
TSLA,20260112,441.23,454.3,438.0,448.96,445.01,3.95,0.887616,61649600.0,27678203889.21
TSLA,20260113,450.2,451.81,443.95,447.2,448.96,-1.76,-0.392012,53719200.0,24023226895.75
TSLA,20260114,442.81,443.91,434.22,439.2,447.2,-8.0,-1.788909,57259500.0,25148373098.97
TSLA,20260115,441.13,445.36,437.65,438.57,439.2,-0.63,-0.143444,49465800.0,21694216268.3
TSLA,20260116,439.5,447.25,435.26,437.5,438.57,-1.07,-0.243976,60220600.0,26346512500.0
TSLA,20260120,429.36,430.73,417.44,419.25,437.5,-18.25,-4.171429,63187300.0,26491275525.0
TSLA,20260121,421.66,438.2,419.62,431.44,419.25,12.19,2.907574,68124000.0,29391418726.32
TSLA,20260122,435.16,449.5,432.63,449.36,431.44,17.92,4.153528,71546700.0,32150224063.95
TSLA,20260123,447.43,452.43,444.04,449.06,449.36,-0.3,-0.066759,56771400.0,25493764745.4
TSLA,20260126,445.0,445.04,434.28,435.2,449.06,-13.86,-3.086444,49397400.0,21497749083.0
TSLA,20260127,437.41,437.52,430.69,430.9,435.2,-4.3,-0.988056,37733100.0,16259192559.7
TSLA,20260128,431.91,438.26,430.1,431.46,430.9,0.56,0.12996,54857400.0,23668773335.25
TSLA,20260129,437.8,440.23,414.62,416.56,431.46,-14.9,-3.453389,81686100.0,34027161616.57
TSLA,20260130,425.35,439.88,422.7,430.41,416.56,13.85,3.324853,82626100.0,35563100003.59
TSLA,20260202,421.29,427.15,414.5,421.81,430.41,-8.6,-1.998096,58739500.0,24776908351.59
