year,revenue,growth_pct,ebit_margin_pct,cash_tax,nol_end,nopat,reinvest,fcff
2026,700.0,586.3,-100.0,0.0,700.0,-700.0,332.2,-1032.2
2027,1092.0,56.0,-85.8,0.0,1636.7,-936.7,217.8,-1154.5
2028,1638.0,50.0,-71.6,0.0,2808.8,-1172.1,303.3,-1475.4
2029,2358.7,44.0,-57.3,0.0,4161.1,-1352.3,400.4,-1752.7
2030,3255.0,38.0,-43.1,0.0,5564.4,-1403.3,498.0,-1901.2
2031,4296.6,32.0,-28.9,0.0,6805.6,-1241.3,578.7,-1819.9
2032,5413.8,26.0,-14.7,0.0,7599.7,-794.0,620.6,-1414.6
2033,6496.5,20.0,-0.4,0.0,7628.5,-28.9,601.5,-630.4
2034,7406.0,14.0,13.8,0.0,6608.1,1020.4,505.3,515.1
2035,7998.5,8.0,28.0,0.0,4368.6,2239.6,329.2,1910.4
